,0,1
0,[ 10.77597162 106.65986162  -1.19128352   0.52724861],[ 10.77541281 106.66030518  -1.19135632   0.52765903]
1,[ 1.07758235e+01  1.06660269e+02  3.58002286e-04 -1.41660599e-01],[ 1.07758525e+01  1.06660184e+02  7.49447828e-06 -1.42139836e-01]
2,[ 10.77569379 106.66005608   0.43929289  -0.55824633],[ 10.77595609 106.66033919   0.43929429  -0.55820465]
3,[ 10.77582083 106.6598517    0.43926622  -0.55817934],[ 10.77581351 106.65976041   0.43927277  -0.55824072]
4,[ 1.07756664e+01  1.06659937e+02  7.49505242e-02 -1.38926893e-04],[1.07752083e+01 1.06660828e+02 7.47068540e-02 4.05495054e-04]
5,[ 10.77578557 106.6600436    0.87419449  -0.62233661],[ 10.77569568 106.66021103   0.87388482  -0.62226532]
6,[ 10.77591767 106.65997234  -1.08475083  -0.49301892],[ 10.77526907 106.66020307  -1.08467883  -0.49318742]
7,[ 10.77579173 106.66005819   0.82358594   1.01635014],[ 10.77553379 106.65978108   0.82407124   1.01706553]
8,[ 10.77570129 106.65996258   0.32484455   0.13420522],[ 10.77551927 106.6598812    0.32424618   0.13468729]
9,[ 1.07759298e+01  1.06660012e+02  1.86774305e-01 -1.57031630e-02],[ 1.07754039e+01  1.06659865e+02  1.87030221e-01 -1.57234206e-02]
10,[ 1.07758247e+01  1.06659818e+02 -4.76700220e-02 -3.55268913e-01],[ 1.07752574e+01  1.06659900e+02 -4.74687028e-02 -3.55557727e-01]
11,[ 10.77579358 106.65995888  -0.41044392  -0.59021625],[ 10.77593744 106.65973977  -0.41041706  -0.59054789]
12,[ 10.77562939 106.66005945  -0.41046241  -0.59036199],[ 10.77593886 106.65932585  -0.41069377  -0.59007855]
13,[ 10.77573093 106.66037519  -0.67178633   0.12246099],[ 10.77618746 106.65979499  -0.6718992    0.12174443]
14,[ 10.77594984 106.66003482  -1.10445347   1.12722804],[ 10.77529996 106.6599321   -1.10435842   1.12663103]
15,[ 10.77565029 106.66017636  -0.14875298  -2.27824731],[ 10.77584817 106.66006136  -0.14857503  -2.27814584]
16,[ 10.77582714 106.66019627   2.23804962   0.9504076 ],[ 10.77588883 106.66035487   2.23833653   0.95006467]
17,[ 10.77576174 106.66031854  -1.09522406   1.88765914],[ 10.77491405 106.66102776  -1.09484055   1.88809921]
18,[1.07758632e+01 1.06660200e+02 1.86826570e+00 8.13743753e-02],[1.07754412e+01 1.06660243e+02 1.86810064e+00 8.15778399e-02]
19,[ 10.77582553 106.66029996  -0.87225642  -1.01180994],[ 10.7757909  106.66029582  -0.87205149  -1.0114321 ]
20,[ 10.77581126 106.66021946   0.70716492  -1.10493881],[ 10.77599636 106.65979548   0.70673853  -1.10483036]
21,[ 10.77591844 106.6603428    1.25101207   0.83225548],[ 10.77554827 106.66032941   1.2510878    0.83231847]
22,[ 10.77569425 106.66055732   0.98002644  -0.19209955],[ 10.77551604 106.66058148   0.97987877  -0.19182341]
23,[ 1.07758506e+01  1.06660179e+02 -7.11348414e-02  1.31185799e-01],[ 1.07757386e+01  1.06660066e+02 -7.14117774e-02  1.30966790e-01]
24,[1.07757636e+01 1.06660348e+02 1.12352883e-02 9.27500754e-05],[ 1.07753208e+01  1.06660480e+02  1.13487459e-02 -4.49905194e-04]
25,[ 1.07756765e+01  1.06660309e+02  3.44354032e-02 -6.49164253e-05],[ 1.07753905e+01  1.06660322e+02  3.44210966e-02 -3.38019374e-05]
26,[1.07757764e+01 1.06660451e+02 2.19480375e-01 6.78406077e-02],[1.07753592e+01 1.06659828e+02 2.19303808e-01 6.83264391e-02]
27,[ 1.07757254e+01  1.06660200e+02 -2.30133575e-02  2.23364133e-01],[ 1.07761012e+01  1.06660167e+02 -2.23564825e-02  2.22764051e-01]
28,[ 1.07755808e+01  1.06660266e+02  5.21752373e-02 -1.31420466e-01],[ 1.07762428e+01  1.06660275e+02  5.20439955e-02 -1.31852593e-01]
29,[ 1.07758067e+01  1.06660210e+02  9.82237553e-02 -7.70682570e-05],[1.07755760e+01 1.06660310e+02 9.81744647e-02 1.59819028e-04]
30,[ 1.07756564e+01  1.06660282e+02 -2.04137947e-01 -1.19924524e-02],[ 1.07756536e+01  1.06660636e+02 -2.04323716e-01 -1.22623429e-02]
31,[ 1.07757701e+01  1.06660319e+02  6.39742656e-02 -4.15795266e-05],[ 1.07755829e+01  1.06660464e+02  6.44819189e-02 -1.67385100e-04]
32,[ 10.7754034  106.66045997   0.44673924  -0.31034432],[ 10.77561976 106.66068812   0.44669549  -0.31031009]
33,[ 10.77524177 106.66037345  -0.58031254   0.10882805],[ 10.7753702  106.66049058  -0.58066615   0.10845674]
34,[ 1.07753591e+01  1.06660453e+02  7.99417661e-02 -8.04485289e-05],[ 1.07755719e+01  1.06660576e+02  8.03208467e-02 -2.09087771e-04]
35,[ 1.07752009e+01  1.06660463e+02  1.03137635e-01 -5.68890704e-02],[ 1.07744914e+01  1.06660897e+02  1.03130726e-01 -5.72868264e-02]
36,[ 1.07751299e+01  1.06660318e+02  1.03142876e-01 -5.66133351e-02],[ 1.07751946e+01  1.06660940e+02  1.03275171e-01 -5.66983927e-02]
37,[ 1.07751218e+01  1.06660488e+02  1.03251331e-01 -5.64904878e-02],[ 1.07752901e+01  1.06660388e+02  1.03298119e-01 -5.66258962e-02]
38,[1.07752379e+01 1.06660685e+02 9.65026145e-02 4.77176218e-05],[ 1.07750601e+01  1.06660850e+02  9.63667081e-02 -3.04168222e-04]
39,[1.07751907e+01 1.06660678e+02 9.65569957e-02 2.03482691e-04],[ 1.07748902e+01  1.06660926e+02  9.71589906e-02 -6.07610122e-04]
40,[1.07750954e+01 1.06660724e+02 9.63884942e-02 5.83959164e-05],[ 1.07746440e+01  1.06660480e+02  9.69186393e-02 -2.60239646e-05]
41,[1.07752322e+01 1.06660362e+02 9.47286462e-02 1.20417390e-04],[1.07750775e+01 1.06660179e+02 9.46336865e-02 1.46506058e-04]
42,[ 1.07753072e+01  1.06660594e+02  9.46279880e-02 -1.48131876e-04],[1.07749167e+01 1.06660572e+02 9.45528931e-02 2.05511955e-04]
43,[1.07751994e+01 1.06660619e+02 9.46927640e-02 6.80894466e-05],[ 1.07750961e+01  1.06660677e+02  9.49581516e-02 -4.61646620e-04]
44,[1.07751805e+01 1.06660618e+02 7.52872259e-02 1.66316762e-05],[1.07750355e+01 1.06660214e+02 7.55920397e-02 1.15260898e-04]
45,[1.07750746e+01 1.06660592e+02 7.54953022e-02 4.55969559e-05],[1.07752747e+01 1.06660625e+02 7.58327379e-02 3.84499195e-05]
46,[1.07752011e+01 1.06660583e+02 7.52232672e-02 1.12785531e-04],[1.07745128e+01 1.06660922e+02 7.52296101e-02 1.40075643e-05]
47,[1.07749988e+01 1.06660711e+02 7.55343522e-02 5.94764875e-05],[ 1.07753735e+01  1.06660496e+02  7.59493261e-02 -3.44172497e-04]
48,[1.07752045e+01 1.06660631e+02 7.54242100e-02 7.96187650e-06],[1.07752720e+01 1.06660757e+02 7.53832907e-02 3.39168812e-05]
49,[1.07750095e+01 1.06660601e+02 7.54490980e-02 2.83243085e-05],[1.07751996e+01 1.06661061e+02 7.56951594e-02 2.30315962e-04]
50,[ 1.07749774e+01  1.06660617e+02  7.56290559e-02 -2.09894327e-05],[1.07748160e+01 1.06660956e+02 7.56774499e-02 2.02181646e-04]
51,[1.07751060e+01 1.06660653e+02 8.36934830e-02 1.27450956e-01],[1.07750378e+01 1.06660726e+02 8.32688114e-02 1.27211371e-01]
52,[1.07750503e+01 1.06660558e+02 8.33812869e-02 1.27163897e-01],[1.07750784e+01 1.06660659e+02 8.35140780e-02 1.26683097e-01]
53,[1.07752360e+01 1.06660660e+02 8.36811995e-02 1.27452560e-01],[1.07747370e+01 1.06660066e+02 8.34586281e-02 1.27279599e-01]
